address,"27105 Christopher Station
Kevinborough, WA 91949-7197","78597 Gina Grove
North Rebeccaberg, IL 61475","0628 Sanders Plains
Lake Jenna, VA 56410","9774 Moore Square Suite 477
Gonzalezfurt, OR 08748-6602","77324 John Tunnel
South Shirleyfort, WA 36499-0790"
birthdate,40398,29924,28970,38546,26834
mail,qturner@hotmail.com,carramy@yahoo.com,sbrown@yahoo.com,bdixon@gmail.com,harrisandrea@gmail.com
name,Samuel Simpson,Angelica Sanchez,Connie Taylor,Alexis Jones,Lisa Wright
sex,M,F,F,F,F
username,debrapeterson,mbrooks,aarongriffin,jeffreymorales,hamiltoncameron
days_since_signup,18,3,26,19,7
acquisition_channel,Organic Search,Organic Search,Organic Search,Cold Email,Organic Search
job_title,Marketing Director,Promotion Manager,Information Systems Manager,Territory Sales Manager,Data Processing Manager
company_size,18568,251-1000,1000-10000,10-Jan,10001
completed_form,1,1,0,1,1
visited_pricing,1,0,1,1,1
registered_for_webinar,0,1,0,1,0
attended_webinar,0,0,0,1,0
industry,Web & Internet,Web & Internet,Web & Internet,Web & Internet,Web & Internet
converted,1,0,0,1,0
is_manager,1,0,0,0,0
acquisition_channel_Cold Call,0,0,0,0,0
acquisition_channel_Cold Email,0,0,0,1,0
acquisition_channel_Organic Search,1,1,1,0,1
acquisition_channel_Paid Leads,0,0,0,0,0
acquisition_channel_Paid Search,0,0,0,0,0
company_size_1-10,0,0,0,1,0
company_size_1000-10000,0,0,1,0,0
company_size_10001+,0,0,0,0,1
company_size_101-250,0,0,0,0,0
company_size_11-50,1,0,0,0,0
company_size_251-1000,0,1,0,0,0
company_size_51-100,0,0,0,0,0
industry_Financial Services,0,0,0,0,0
industry_Furniture,0,0,0,0,0
industry_Heavy Manufacturing,0,0,0,0,0
Scandanavion Design,0,0,0,0,0
Transportation,0,0,0,0,0
Internet,1,1,1,1,1
score,151,141.3584381,120.4487482,250.3352637,0
